Codice;Paese;Moneta;Anno;Pop_mln;Occup_mln;HCI;PIL_reale;Consumo_reale;Capitale_reale;Tasso_Cambio_Moneta_USD;PIL_cons;PIL_inv;PIL_pub;PIL_exp;PIL_imp;PIL_res
AUT;Austria;Euro;2012;8.46;4.33;3.30;351773.88;262181.09;1609363.50;0.78;0.57;0.30;0.18;0.58;-0.68;0.05
AUT;Austria;Euro;2013;8.49;4.37;3.32;352903.94;262714.25;1633108.25;0.75;0.58;0.28;0.18;0.60;-0.70;0.05
AUT;Austria;Euro;2014;8.52;4.42;3.33;354151.34;263394.81;1654875.50;0.75;0.56;0.27;0.18;0.58;-0.63;0.04
BEL;Belgium;Euro;2012;11.08;4.83;3.11;420277.25;319974.00;2138725.50;0.78;0.55;0.33;0.21;1.27;-1.37;0.00
BEL;Belgium;Euro;2013;11.15;4.85;3.11;420346.81;321798.06;2177063.75;0.75;0.56;0.30;0.22;1.30;-1.38;0.00
BEL;Belgium;Euro;2014;11.23;4.90;3.12;426014.59;323185.19;2223834.50;0.75;0.57;0.30;0.23;1.36;-1.46;0.00
BGR;Bulgaria;Bulgarian Lev;2012;7.30;3.57;3.11;111419.16;96303.62;290917.03;1.52;0.61;0.20;0.25;0.32;-0.46;0.08
BGR;Bulgaria;Bulgarian Lev;2013;7.25;3.55;3.12;112847.42;95648.88;301401.63;1.47;0.60;0.18;0.27;0.34;-0.47;0.08
BGR;Bulgaria;Bulgarian Lev;2014;7.20;3.57;3.13;114595.27;97730.70;312284.16;1.47;0.61;0.18;0.26;0.33;-0.46;0.09
CYP;Cyprus;Euro;2012;0.86;0.31;2.76;22636.61;22114.58;128405.91;0.78;0.76;0.25;0.17;0.11;-0.49;0.21
CYP;Cyprus;Euro;2013;0.87;0.29;2.78;21292.20;20895.35;128818.21;0.75;0.78;0.19;0.16;0.13;-0.46;0.19
CYP;Cyprus;Euro;2014;0.88;0.29;2.80;20760.53;20612.80;128225.96;0.75;0.82;0.18;0.16;0.12;-0.50;0.22
CZE;Czech Republic;Czech Koruna;2012;10.55;5.04;3.64;278991.69;210752.05;1652509.38;19.58;0.51;0.28;0.25;0.73;-0.77;0.00
CZE;Czech Republic;Czech Koruna;2013;10.55;5.05;3.65;277518.16;213262.30;1667156.00;19.57;0.51;0.25;0.26;0.72;-0.75;0.00
